"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2020","84,840.0","85,489.0","86,139.0","83,622.0","1.72M","-2.70%"
"02/27/2020","87,194.0","85,246.0","87,194.0","84,271.0","1.04M","2.29%"
"02/26/2020","85,246.0","86,626.0","86,626.0","85,246.0","1.62M","-2.78%"
"02/25/2020","87,681.0","86,301.0","88,087.0","86,057.0","1.44M","1.50%"
"02/24/2020","86,382.0","86,869.0","87,519.0","86,057.0","1.15M","-1.94%"
"02/21/2020","88,087.0","87,275.0","88,818.0","87,275.0","1.78M","1.97%"
"02/20/2020","86,382.0","86,869.0","87,275.0","86,301.0","749.54K","0.00%"
"02/19/2020","86,382.0","85,246.0","86,626.0","85,246.0","953.36K","0.85%"
"02/18/2020","85,652.0","87,519.0","87,519.0","85,489.0","1.29M","-1.86%"
"02/17/2020","87,275.0","86,707.0","87,356.0","86,707.0","748.02K","0.84%"
"02/14/2020","86,545.0","87,032.0","87,194.0","86,545.0","849.70K","-0.28%"
"02/13/2020","86,788.0","87,032.0","87,275.0","86,545.0","856.27K","-0.28%"
"02/12/2020","87,032.0","87,681.0","87,681.0","87,032.0","1.01M","0.00%"
"02/11/2020","87,032.0","88,493.0","88,493.0","86,869.0","1.06M","-1.65%"
"02/10/2020","88,493.0","88,493.0","88,818.0","87,113.0","1.09M","-1.09%"
"02/07/2020","89,467.0","87,438.0","89,711.0","87,356.0","1.83M","2.51%"
"02/06/2020","87,275.0","86,057.0","88,168.0","85,976.0","2.56M","0.84%"
"02/05/2020","86,545.0","86,382.0","87,438.0","83,865.0","1.85M","1.52%"
"02/04/2020","85,246.0","89,224.0","89,305.0","84,515.0","2.24M","-3.05%"
"02/03/2020","87,925.0","82,404.0","89,711.0","81,998.0","2.75M","-0.18%"
"01/31/2020","88,087.0","94,501.0","94,663.0","88,087.0","2.30M","-6.95%"
"01/30/2020","94,663.0","96,612.0","97,261.0","94,338.0","1.84M","-3.87%"
"01/22/2020","98,479.0","98,235.0","98,966.0","98,235.0","953.33K","0.25%"
"01/21/2020","98,235.0","96,612.0","98,966.0","96,287.0","1.02M","1.68%"
"01/20/2020","96,612.0","96,612.0","96,774.0","96,125.0","592.32K","0.34%"
"01/17/2020","96,287.0","95,962.0","96,287.0","95,637.0","450.04K","0.34%"
"01/16/2020","95,962.0","95,637.0","96,206.0","95,150.0","654.11K","0.34%"
"01/15/2020","95,637.0","95,637.0","95,719.0","95,150.0","818.09K","0.00%"
"01/14/2020","95,637.0","95,313.0","95,881.0","95,069.0","402.22K","0.34%"
"01/13/2020","95,313.0","96,612.0","96,612.0","95,313.0","495.46K","-1.26%"
"01/10/2020","96,531.0","96,287.0","96,774.0","96,125.0","715.54K","0.25%"
"01/09/2020","96,287.0","96,612.0","97,018.0","96,125.0","748.96K","-0.17%"
"01/08/2020","96,449.0","96,206.0","96,449.0","95,394.0","1.01M","0.25%"
"01/07/2020","96,206.0","95,394.0","96,449.0","95,394.0","551.42K","0.94%"
"01/06/2020","95,313.0","95,800.0","95,962.0","94,826.0","595.09K","-0.76%"
"01/03/2020","96,043.0","95,962.0","96,612.0","95,962.0","750.47K","0.34%"
"01/02/2020","95,719.0","94,988.0","95,962.0","94,582.0","423.24K","1.20%"
"12/31/2019","94,582.0","96,612.0","96,612.0","94,501.0","465.17K","0.00%"
"12/30/2019","94,582.0","95,637.0","95,800.0","94,582.0","806.57K","-1.44%"
"12/27/2019","95,962.0","94,988.0","96,206.0","94,176.0","460.15K","1.03%"
"12/26/2019","94,988.0","95,637.0","95,800.0","94,988.0","414.18K","0.00%"
"12/25/2019","94,988.0","96,195.0","96,195.0","94,746.0","649.43K","-0.51%"
"12/24/2019","95,471.0","94,988.0","95,632.0","94,988.0","692.40K","0.51%"
"12/23/2019","94,988.0","96,598.0","96,598.0","94,988.0","943.32K","-1.67%"
"12/20/2019","96,598.0","96,598.0","96,839.0","96,195.0","2.19M","0.25%"
"12/19/2019","96,356.0","95,471.0","96,598.0","95,471.0","1.90M","0.93%"
"12/18/2019","95,471.0","94,505.0","95,793.0","94,424.0","1.68M","1.28%"
"12/17/2019","94,263.0","95,632.0","95,632.0","94,263.0","995.56K","-1.35%"
"12/16/2019","95,551.0","95,390.0","95,632.0","94,746.0","901.54K","0.59%"
"12/13/2019","94,988.0","96,034.0","96,517.0","94,988.0","677.62K","-1.01%"
"12/12/2019","95,954.0","95,793.0","96,195.0","95,712.0","841.66K","0.51%"
"12/11/2019","95,471.0","94,746.0","95,471.0","94,424.0","952.73K","0.34%"
"12/10/2019","95,149.0","95,068.0","95,551.0","94,585.0","1.02M","0.09%"
"12/09/2019","95,068.0","93,619.0","95,149.0","93,619.0","919.26K","1.55%"
"12/06/2019","93,619.0","94,907.0","94,907.0","93,619.0","1.12M","-1.27%"
"12/05/2019","94,827.0","96,356.0","96,356.0","94,827.0","832.98K","-0.84%"
"12/04/2019","95,632.0","93,700.0","95,632.0","93,700.0","832.44K","2.06%"
"12/03/2019","93,700.0","94,827.0","94,827.0","93,458.0","1.71M","-1.61%"
"12/02/2019","95,229.0","97,805.0","97,805.0","95,229.0","1.79M","-2.63%"
"11/29/2019","97,805.0","98,208.0","98,530.0","97,564.0","659.81K","-0.49%"
